DEPARTEMENT,REVENU_MOYEN
PYRENEES-ATLANTIQUES,16106.88013752419
MEUSE,14988.798041252707
NORD,17290.33557451613
OISE,18349.05208108974
MEURTHE-ET-MOSELLE,16605.759637349398
DOUBS,17832.063678362567
LOIRE-ATLANTIQUE,16692.100166257675
AISNE,15908.052178580998
SOMME,15992.587757354926
ESSONNE,22842.861167597766
HERAULT,16978.363024193543
HAUTE-SAONE,15486.998300210089
JURA,17153.08297181208
INDRE-ET-LOIRE,17240.075494285727
PAS-DE-CALAIS,15976.748398702815
MARNE,20205.183479746815
VAL-D OISE,22164.188363372105
YVELINES,27665.210128318588
CALVADOS,18195.21078639311
VAL-DE-MARNE,21677.88045853659
LOIRE,17016.339334042557
MOSELLE,17480.894620140833
HAUTE-SAVOIE,25154.881032258047
EURE-ET-LOIR,18332.642625609755
ALLIER,15402.553239590457
HAUTES-ALPES,16104.642317213118
CHARENTE,16246.13437619048
GIRONDE,16987.932231376537
ARDECHE,15540.044623509924
BAS-RHIN,19843.25924505929
CHER,16721.48587906977
SEINE-ET-MARNE,20406.52932265797
NIEVRE,15712.828824054975
ILLE-ET-VILAINE,16461.98137073171
EURE,17567.465835073068
ARDENNES,15166.834758880788
HAUTES-PYRENEES,15177.904958078603
DEUX-SEVRES,15953.395023111103
LOIRET,17947.50964569536
VIENNE,15596.789765086212
CORSE-DU-SUD,15605.203831404955
CORREZE,15463.582534749037
RHONE,20588.096032352933
HAUTE-GARONNE,17723.01784900181
LOT-ET-GARONNE,15609.312772108848
AVEYRON,15037.396302991463
COTE-D OR,18093.76748179102
HAUTE-MARNE,14935.124026829273
HAUTE-CORSE,14472.878016901404
HAUTE-LOIRE,14469.34869245283
MANCHE,16261.645994973538
ISERE,18974.577565734267
DORDOGNE,15530.308622273791
CHARENTE-MARITIME,16681.021231670806
TARN,15473.412064705879
VOSGES,15450.358124400871
MAYENNE,15053.0638861244
CREUSE,14208.265270135735
GARD,16116.962788161982
ALPES-DE-HAUTE-PROVENCE,14773.964146357612
ALPES-MARITIMES,18824.411365648863
GERS,15406.118039550563
SARTHE,16154.942236538463
YONNE,16927.458602463055
SAVOIE,20189.193635267853
PUY-DE-DOME,16272.239743062199
ARIEGE,14664.323919931276
AUDE,13637.202881141446
VAR,19076.382172413792
INDRE,15418.03952798166
AUBE,18510.90479175001
LANDES,16441.219081469648
DROME,16178.997362372891
BOUCHES-DU-RHONE,22362.54381132075
HAUTE-VIENNE,15593.56703806818
VENDEE,16171.7554788889
LOZERE,13385.413745762711
LOT,16341.728729666682
TARN-ET-GARONNE,15020.941475409842
ORNE,15742.881820538727
PYRENEES-ORIENTALES,14738.14167091837
HAUT-RHIN,23291.787619047638
MORBIHAN,17456.72313288889
CANTAL,14194.137267699112
SAONE-ET-LOIRE,17728.4991654224
COTES-D ARMOR,16283.258726265813
MAINE-ET-LOIRE,16099.349695652174
SEINE-MARITIME,17217.39363662419
AIN,19001.126542979935
LOIR-ET-CHER,17503.52093155737
TERRITOIRE DE BELFORT,20112.549463917534
VAUCLUSE,18815.33344427482
HAUTS-DE-SEINE,32212.083823529407
FINISTERE,17445.222453333332
SEINE-SAINT-DENIS,14626.485690625
PARIS,49723.1587
